merk_tipe;id_jenis;no_polisi;warna;tahun_buat;tahun_beli;silinder;no_rangka;no_mesin;no_body;no_pabrik;bahan_bakar;noreg;ukuran;bahan;status;keterangan
YUTONG;1;B 7347 IV;MERAH KOMBINASI;2013;null;11596;LZYTUGF6XD1046901;1413F034723;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
YUTONG;1;B 7348 IV;MERAH KOMBINASI;2013;null;11596;LZYTUGF61D1046902;1413F034710;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
YUTONG;1;B 7349 IV;MERAH KOMBINASI;2013;null;11596;LZYTUGF63D1046904;1413F034732;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
YUTONG;1;B 7350 IV;MERAH KOMBINASI;2013;null;11596;LZYTUGF65D1046905;1413F034711;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
YUTONG;1;B 7351 IV;MERAH KOMBINASI;2013;null;11596;LZYTUGF67D1046906;1413F034733;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
YUTONG;1;B 7352 IV;MERAH KOMBINASI;2013;null;11596;LZYTUGF69D1046907;1413F034724;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
YUTONG;1;B 7353 IV;MERAH KOMBINASI;2013;null;11596;LZYTUGF62D1046908;1413F034722;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
YUTONG;1;B 7354 IV;MERAH KOMBINASI;2013;null;11596;LZYTUGF64D1046909;1413F034734;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
YUTONG;1;B 7355 IV;MERAH KOMBINASI;2013;null;11596;LZYTUGF60D1046910;1413F034715;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
YUTONG;1;B 7357 IV;MERAH KOMBINASI;2013;null;11596;LZYTUGF60D1046891;1413F034713;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
YUTONG;1;B 7358 IV;MERAH KOMBINASI;2013;null;11596;LZYTUGF62D1046892;1413F034709;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
YUTONG;1;B 7359 IV;MERAH KOMBINASI;2013;null;11596;LZYTUGF64D1046893;1413F034727;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
YUTONG;1;B 7361 IV;MERAH KOMBINASI;2013;null;11596;LZYTUGF66D1046894;1413F034716;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
YUTONG;1;B 7360 IV;MERAH KOMBINASI;2013;null;11596;LZYTUGF68D1046895;1413F034717;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
YUTONG;1;B 7362 IV;MERAH KOMBINASI;2013;null;11596;LZYTUGF6XD1046896;1413F034731;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
YUTONG;1;B 7363 IV;MERAH KOMBINASI;2013;null;11596;LZYTUGF61D1046897;1413F034729;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
YUTONG;1;B 7364 IV;MERAH KOMBINASI;2013;null;11596;LZYTUGF63D1046898;1413F034720;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
YUTONG;1;B 7365 IV;MERAH KOMBINASI;2013;null;11596;LZYTUGF65D1046899;1413F034712;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
YUTONG;1;B 7367 IV;MERAH KOMBINASI;2013;null;11596;LZYTUGF66D1046900;1413F034718;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
YUTONG;1;B 7368 IV;MERAH KOMBINASI;2013;null;11596;LZYTUGF60D1043991;1413F034726;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
YUTONG;1;B 7369 IV;MERAH KOMBINASI;2013;null;11596;LZYTUGF62D1043992;1413F034725;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
YUTONG;1;B 7370 IV;MERAH KOMBINASI;2013;null;11596;LZYTUGF63D1043993;1413F034719;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
YUTONG;1;B 7371 IV;MERAH KOMBINASI;2013;null;11596;LZYTUGF66D1043994;1413F034736;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
YUTONG;1;B 7372 IV;MERAH KOMBINASI;2013;null;11596;LZYTUGF68D1043995;1413F034721;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
YUTONG;1;B 7373 IV;MERAH KOMBINASI;2013;null;11596;LZYTUGF6XD1043996;1413F034735;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
YUTONG;1;B 7374 IV;MERAH KOMBINASI;2013;null;11596;LZYTUGF61D1043997;1413F034714;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
YUTONG;1;B 7375 IV;MERAH KOMBINASI;2013;null;11596;LZYTUGF63D1043998;1413F034730;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
YUTONG;1;B 7377 IV;MERAH KOMBINASI;2013;null;11596;LZYTUGF65D1043999;1413F034708;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
YUTONG;1;B 7378 IV;MERAH KOMBINASI;2013;null;11596;LZYTUGF66D1044000;1413F034732;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
YUTONG;1;B 7379 IV;MERAH KOMBINASI;2013;null;11596;LAB7L1RK4DA201817;1413F034728;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
ANKAI;1;B 7394 IV;MERAH KOMBINASI;2013;null;11590;LAB7L1RKXDA201823;14135048856;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
ANKAI;1;B 7888 IV;MERAH KOMBINASI;2013;null;11590;LAB7L1RK5DA201843;14135051769;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
ANKAI;1;B 7921 IV;MERAH KOMBINASI;2013;null;11590;LAB7L1RK4DA201879;14135051783;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
ANKAI;1;B 7922 IV;MERAH KOMBINASI;2013;null;11590;LAB7L1RK2DA201816;14135051770;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
ANKAI;1;B 7923 IV;MERAH KOMBINASI;2013;null;11590;LAB7L1RK5DA201888;14135048866;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
ANKAI;1;B 7924 IV;MERAH KOMBINASI;2013;null;11590;LAB7L1RK4DA201882;14135048858;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
ANKAI;1;B 7925 IV;MERAH KOMBINASI;2013;null;11590;LAB7L1RK8DA201819;14135048853;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
ANKAI;1;B 7926 IV;MERAH KOMBINASI;2013;null;11590;LAB7L1RK8DA201819;14135048857;null;null;GAS;null;null;null;PNG_2013;PENGADAAN TAHUN 2013
